id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,topicOrder,Kjemi som fag;Atombygning og periodesystemet;Kjemiske bindinger og molekylgeometri;Kjemiske forbindelser og navnsetting;Støkiometri;Redoksreaksjoner;Termokjemi;Reaksjonsfart og likevekt;Syrer og baser;Løselighet;Kvantitativ analyse;Organisk kjemi;Grønn kjemi,,,
,config,,title,Kjemi 1,,,
,config,,description,"Atombygning og periodesystemet, bindinger og molekylgeometri, navnsetting, støkiometri, redoks, termokjemi, reaksjonsfart og likevekt, syrer og baser, løselighet, kvantitativ analyse og organisk kjemi — dekomponert i det elevene faktisk må kunne gjøre.",,,
,config,,language,nb,,,
,config,,languageName,Norwegian (bokmål),,,
,config,,subjectFamily,natural-sciences,,,
,config,,storageKey,kjemi1-ferdighetstre-fullfort,,,
,config,,features.motivation,false,,,
,config,,slots.courseName,kjemi 1 (norsk videregående skole),,,
,config,,slots.expressionFocus,"glemmer å balansere reaksjonslikninger (inkludert ladning i redoksreaksjoner, ikke bare atomer), glemmer tilstandssymboler (s), (l), (g), (aq), blander sammen K og Ka/Kb, bruker enkeltpil (→) der likevektspil (⇌) er riktig eller omvendt, oppgir svar med feil antall gjeldende sifre eller glemmer enheter (spesielt mol/L, mol, g/mol, kJ/mol), blander sammen konsentrasjon (mol/L) og stoffmengde (mol) i en beregning, blander sammen atomnummer og massetall, eller bruker upresise dagligord (f.eks. ""stoffet forsvinner"" i stedet for å navngi hva det reagerer til)",,,
kf-fagsprak,concept,Kjemi som fag,Kjemisk fagspråk og notasjon,"Eleven kjenner igjen og forstår kjemisk fagspråk og notasjon - kjemiske formler, navnsetting av forbindelser, symboler for tilstandsformer (s, l, g, aq) og reaksjonspiler - som brukes til å kommunisere presist om stoffer og reaksjoner.",,0,
